geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Scott County, KS","county",05000US20171,,0.164,0.153,,,,50605,47079,51850,61886
"Sedgwick County, KS","county",05000US20173,0.189,0.176,0.178,5.9,5.6,5,49865,50326,50657,51157
"Seward County, KS","county",05000US20175,0.108,0.18,0.186,,,,50185,48621,47134,47507
"Shawnee County, KS","county",05000US20177,0.188,0.203,0.19,8.8,8.7,8,48451,49695,50378,52088
"Sheridan County, KS","county",05000US20179,,0.165,0.164,,,,48674,48750,49750,50822
"Sherman County, KS","county",05000US20181,0.163,0.177,0.173,,,,38634,38528,39029,47036
"Smith County, KS","county",05000US20183,0.099,0.17,0.165,,,,45556,42174,43848,43913
"Stafford County, KS","county",05000US20185,0.277,0.17,0.181,,,,43292,44180,47377,46830
"Stanton County, KS","county",05000US20187,,0.165,0.154,,,,46382,42146,43780,44567
"Stevens County, KS","county",05000US20189,0.245,0.16,0.173,,,,54494,57614,55433,54333
"Sumner County, KS","county",05000US20191,0.207,0.159,0.162,,,,47894,50310,50141,50950
"Thomas County, KS","county",05000US20193,0.151,0.16,0.151,,,,48187,48649,48504,52074
"Trego County, KS","county",05000US20195,0.165,0.145,0.137,,,,45714,50670,54000,54630
"Wabaunsee County, KS","county",05000US20197,0.172,0.151,0.148,,,,54694,55018,54688,57791
"Wallace County, KS","county",05000US20199,,0.15,0.151,,,,47454,48125,47279,45804
"Washington County, KS","county",05000US20201,0.185,0.153,0.149,,,,42515,42738,45159,47045
"Wichita County, KS","county",05000US20203,0.144,0.166,0.176,,,,53018,57266,57171,57596
"Wilson County, KS","county",05000US20205,0.226,0.185,0.2,,,,38917,38811,40306,43594
"Woodson County, KS","county",05000US20207,0.242,0.186,0.188,,,,33839,36863,35787,35321
"Wyandotte County, KS","county",05000US20209,0.25,0.229,0.212,17.9,16.6,16.6,39402,39326,40113,40757
"Adair County, KY","county",05000US21001,0.34,0.237,0.237,,,,32524,34490,33362,33873
"Allen County, KY","county",05000US21003,0.31,0.252,0.219,,,,40008,40273,41326,41166
"Anderson County, KY","county",05000US21005,0.185,0.212,0.187,,,,52646,53410,53974,53513
"Ballard County, KY","county",05000US21007,0.312,0.216,0.212,,,,44588,42852,42244,43923
"Barren County, KY","county",05000US21009,0.264,0.235,0.224,3.9,3.6,,38873,38885,38370,39034
"Bath County, KY","county",05000US21011,0.321,0.274,0.243,,,,30797,33091,33483,34986
"Bell County, KY","county",05000US21013,0.264,0.295,0.294,4.7,4.6,,26228,24976,22443,22603
"Boone County, KY","county",05000US21015,0.178,0.174,0.166,2.5,2.3,2.1,67225,67286,66730,69165
"Bourbon County, KY","county",05000US21017,0.208,0.23,0.207,7.4,,,40933,43521,45208,44232
"Boyd County, KY","county",05000US21019,0.254,0.239,0.21,,,3.2,40379,41739,42319,44140
"Boyle County, KY","county",05000US21021,0.209,0.218,0.211,,,,41473,40853,39704,40758
"Bracken County, KY","county",05000US21023,0.326,0.219,0.225,,,,39196,40194,36327,35887
"Breathitt County, KY","county",05000US21025,0.306,0.291,0.294,,,,24045,26094,25817,25484
"Breckinridge County, KY","county",05000US21027,0.306,0.222,0.225,,,,38907,40039,43479,43390
"Bullitt County, KY","county",05000US21029,0.277,0.201,0.198,2.1,1.8,1.9,54836,56199,55975,58702
"Butler County, KY","county",05000US21031,0.175,0.259,0.24,,,,35430,34581,33536,38427
"Caldwell County, KY","county",05000US21033,0.304,0.217,0.212,,,,37127,40135,42537,43491
"Calloway County, KY","county",05000US21035,0.235,0.222,0.199,,,4.6,39677,38589,37034,36692
"Campbell County, KY","county",05000US21037,0.243,0.216,0.19,2.5,2.7,2,54306,54482,54621,56772
"Carlisle County, KY","county",05000US21039,,0.224,0.208,,,,39049,39125,38829,40913
"Carroll County, KY","county",05000US21041,0.447,0.265,0.231,,,,40160,39668,41439,42882
"Carter County, KY","county",05000US21043,0.334,0.235,0.237,8.2,7.3,6.8,36406,37139,36696,37367
"Casey County, KY","county",05000US21045,0.303,0.273,0.246,,,,29934,30051,32341,32315
"Christian County, KY","county",05000US21047,0.247,0.265,0.256,6.8,8,8.9,38904,38720,39521,40253
"Clark County, KY","county",05000US21049,0.402,0.234,0.209,6.6,7.1,5.6,45853,46554,47959,49069
"Clay County, KY","county",05000US21051,0.363,0.289,0.306,,,8.6,21883,22626,21549,22174
"Clinton County, KY","county",05000US21053,0.211,0.256,0.255,,,,27100,27285,28025,29872
